Date,symbol,Open,High,Low,Close,Volume,Market Cap,return
2013-04-28,LTC,4.299829959869385,4.400279998779297,4.18464994430542,4.348400115966797,0.0,74636937.732,
2013-04-29,LTC,4.366759777069092,4.573599815368652,4.225639820098877,4.383900165557861,0.0,75388963.842,0.0081307889149998
2013-04-30,LTC,4.403520107269287,4.572380065917969,4.168960094451904,4.29649019241333,0.0,74020917.9127,-0.0201403218551299
2013-05-01,LTC,4.289539813995361,4.356860160827637,3.520289897918701,3.8010098934173584,0.0,65604596.3778,-0.1225316622267721
2013-05-02,LTC,3.780019998550415,4.039299964904785,3.0071699619293213,3.3719799518585205,0.0,58287978.8404,-0.1197666982026485
2013-05-03,LTC,3.390439987182617,3.4536099433898926,2.395940065383911,3.044909954071045,0.0,52694847.0708,-0.1020287656560389
2013-05-04,LTC,3.0322699546813965,3.638279914855957,2.895250082015991,3.4796199798583984,0.0,60290867.7155,0.1334517576424225
2013-05-05,LTC,3.4931299686431885,3.692460060119629,3.346060037612915,3.5908899307250977,0.0,62298185.4291,0.0314769767136458
2013-05-06,LTC,3.594219923019409,3.781019926071167,3.11601996421814,3.3712499141693115,0.0,58594361.235,-0.0631164933348305
2013-05-07,LTC,3.3708701133728027,3.406719923019409,2.9397900104522705,3.332740068435669,0.0,58051265.0352,-0.0114887609957874
2013-05-08,LTC,3.2836201190948486,3.4911201000213623,3.2836201190948486,3.4092400074005127,0.0,59508216.0152,0.0226945857093642
2013-05-09,LTC,3.399399995803833,3.441689968109131,3.2948501110076904,3.4161500930786133,0.0,59755569.092,0.0020248184901542
2013-05-10,LTC,3.406529903411865,3.6316399574279785,3.367189884185791,3.4433400630950928,0.0,60358926.6612,0.0079277356778606
2013-05-11,LTC,3.4603800773620605,3.4798099994659424,3.300610065460205,3.348959922790528,0.0,58809512.5488,-0.0277921220716529
2013-05-12,LTC,3.362809896469116,3.4222400188446045,3.215869903564453,3.2694499492645264,0.0,57513319.9785,-0.024028067296162
2013-05-13,LTC,3.260890007019043,3.373430013656616,3.1989500522613525,3.2798399925231934,0.0,57790879.1952,0.0031728789128394
2013-05-14,LTC,3.2810099124908447,3.331850051879883,2.7771999835968018,2.8243000507354736,0.0,49847567.579,-0.149534074191542
2013-05-15,LTC,2.8239901065826416,3.0358200073242188,2.6392500400543213,2.9354500770568848,0.0,51891652.211,0.0386002255067736
2013-05-16,LTC,2.9297399520874023,2.96766996383667,2.685110092163086,2.919120073318481,0.0,51685880.3376,-0.0055785636412553
2013-05-17,LTC,2.8914198875427246,3.335330009460449,2.87076997756958,3.1860899925231934,0.0,56498073.7257,0.0875122312169492
2013-05-18,LTC,3.198649883270264,3.3637499809265137,3.130880117416382,3.294929981231689,0.0,58518793.7122,0.0335904603933881
2013-05-19,LTC,3.3020501136779785,3.4123098850250244,3.187880039215088,3.303489923477173,0.0,58760676.4145,0.0025945445033775
2013-05-20,LTC,3.314850091934204,3.323339939117432,3.150049924850464,3.18176007270813,0.0,56682748.951,-0.0375449365653903
2013-05-21,LTC,3.193259954452514,3.215970039367676,3.040910005569458,3.086750030517578,0.0,55073034.1595,-0.0303157583087625
2013-05-22,LTC,3.091909885406494,3.1352899074554443,3.0311899185180664,3.120759963989258,0.0,55766901.417,0.0109577830103688
2013-05-23,LTC,3.118520021438598,3.186460018157959,3.090790033340454,3.181440114974976,0.0,56949220.3738,0.0192574102606809
2013-05-24,LTC,3.170130014419556,3.185499906539917,3.0365800857543945,3.1794800758361816,0.0,57017468.5839,-0.0006162753633224
2013-05-25,LTC,3.187750101089477,3.1954500675201416,3.0547900199890137,3.118690013885498,0.0,56026342.7178,-0.0193046389520552
2013-05-26,LTC,3.124109983444214,3.32738995552063,3.087300062179565,3.2488999366760254,0.0,58457958.0306,0.0409034117132279
2013-05-27,LTC,3.2307000160217285,3.261780023574829,3.0189900398254395,3.100909948348999,0.0,55882131.6956,-0.0466208578766778
2013-05-28,LTC,3.102799892425537,3.130000114440918,3.01941990852356,3.092129945755005,0.0,55813731.901,-0.0028354438616696
2013-05-29,LTC,3.092129945755005,3.123270034790039,3.019659996032715,3.09581995010376,0.0,55971818.8193,0.001192642102229
2013-05-30,LTC,3.0774600505828857,3.092780113220215,2.8841700553894043,2.971390008926392,0.0,53812627.6331,-0.0410229385825444
2013-05-31,LTC,2.971390008926392,2.988229990005493,2.6888198852539062,2.9566800594329834,0.0,53635813.2007,-0.0049628224752602
2013-06-01,LTC,2.9421401023864746,2.974560022354126,2.8027000427246094,2.826499938964844,0.0,51354548.481,-0.0450278617880212
2013-06-02,LTC,2.8277900218963623,2.863770008087158,2.5587100982666016,2.7271199226379395,0.0,49625822.6165,-0.0357930966112606
2013-06-03,LTC,2.730530023574829,2.754610061645508,2.613460063934326,2.725559949874878,0.0,49674159.5702,-0.0005721857296212
2013-06-04,LTC,2.703310012817383,2.8956899642944336,2.703310012817383,2.866729974746704,0.0,52324427.4459,0.050498105363039
2013-06-05,LTC,2.867470026016236,2.98540997505188,2.811340093612671,2.8624300956726074,0.0,52331672.3172,-0.0015010507050256
2013-06-06,LTC,2.876840114593506,2.9064600467681885,2.7448201179504395,2.754120111465454,0.0,50432630.2205,-0.0385729350422461
2013-06-07,LTC,2.779139995574951,2.79367995262146,2.511509895324707,2.602410078048706,0.0,47740050.7751,-0.0566600440468146
2013-06-08,LTC,2.604059934616089,2.657480001449585,2.536210060119629,2.562380075454712,0.0,47088867.5095,-0.0155014252205504
2013-06-09,LTC,2.552730083465576,2.5878798961639404,2.072669982910156,2.382999897003174,0.0,43858290.482,-0.0725763886517216
2013-06-10,LTC,2.3843801021575928,2.5802900791168213,2.261240005493164,2.487529993057251,0.0,45853396.6991,0.0429300925932646
2013-06-11,LTC,2.492840051651001,2.4988698959350586,2.181020021438598,2.397979974746704,0.0,44270317.3619,-0.0366635417324701
2013-06-12,LTC,2.412169933319092,2.454220056533813,2.30801010131836,2.3847100734710693,0.0,44101286.2173,-0.0055491512908402
2013-06-13,LTC,2.398509979248047,2.486279964447021,2.227679967880249,2.270319938659668,0.0,42056097.8573,-0.049156790762338
2013-06-14,LTC,2.26921010017395,2.288739919662476,2.0899999141693115,2.134550094604492,0.0,39610212.5232,-0.0616648677509968
2013-06-15,LTC,2.138999938964844,2.208470106124878,2.0486900806427,2.10575008392334,0.0,39124632.848,-0.0135841578840216
2013-06-16,LTC,2.085819959640503,2.150219917297364,2.0170700550079346,2.129509925842285,0.0,39617093.1315,0.0112201334165731
2013-06-17,LTC,2.138859987258911,2.288990020751953,2.09237003326416,2.2780799865722656,0.0,42440639.5123,0.067441105554772
2013-06-18,LTC,2.28164005279541,2.3739800453186035,2.187930107116699,2.3101699352264404,0.0,43109745.0852,0.0139881098219684
2013-06-19,LTC,2.3047900199890137,2.33882999420166,2.251830101013184,2.3003199100494385,0.0,43008862.2093,-0.0042728822723736
2013-06-20,LTC,2.29817008972168,2.4003000259399414,2.268229961395264,2.286710023880005,0.0,42832831.4988,-0.0059340908182477
2013-06-21,LTC,2.3259599208831787,2.86670994758606,2.2656800746917725,2.86670994758606,0.0,53781211.0928,0.2260508987021184
2013-06-22,LTC,2.86343002319336,3.584320068359375,2.664469957351685,2.924099922180176,0.0,54938148.7014,0.0198217019433637
2013-06-23,LTC,2.897599935531616,3.3371999263763428,2.895430088043213,3.1171700954437256,0.0,58663905.0007,0.0639388551222299
2013-06-24,LTC,3.134500026702881,3.148200035095215,2.705080032348633,2.874579906463623,0.0,54188144.1623,-0.0810190254562025
2013-06-25,LTC,2.8483099937438965,2.907099962234497,2.7709100246429443,2.823280096054077,0.0,53299726.2651,-0.0180071804430272
2013-06-26,LTC,2.806420087814331,2.946899890899658,2.7548298835754395,2.859999895095825,0.0,54085900.44,0.0129222245130992
2013-06-27,LTC,2.880800008773804,3.031830072402954,2.839139938354492,3.019779920578003,0.0,57201137.8061,0.0543623665985677
2013-06-28,LTC,3.0368399620056152,3.0368399620056152,2.6675000190734863,2.7476699352264404,0.0,52128119.3132,-0.0944306985117455
2013-06-29,LTC,2.761229991912842,2.927710056304932,2.702800035476685,2.794719934463501,0.0,53106258.7709,0.0169786430090313
2013-06-30,LTC,2.788219928741455,3.001739978790283,2.7654199600219727,2.980540037155152,0.0,56721476.4462,0.0643726053728881
2013-07-01,LTC,3.009160041809082,3.304460048675537,2.875570058822632,2.9487900733947754,0.0,56208962.1382,-0.0107095630132393
2013-07-02,LTC,2.949680089950561,3.0341899394989014,2.80637001991272,2.8347198963165283,0.0,54124595.9229,-0.0394518113137576
2013-07-03,LTC,2.8468499183654785,3.027750015258789,2.6094300746917725,2.6150898933410645,0.0,50009684.0754,-0.0806446573290322
2013-07-04,LTC,2.6751599311828613,2.7765400409698486,2.493360042572021,2.725800037384033,0.0,52211619.5832,0.0414635037614685
2013-07-05,LTC,2.706860065460205,2.7207999229431152,2.331419944763184,2.431349992752075,0.0,46634396.8329,-0.1143153210630322
2013-07-06,LTC,2.4230198860168457,2.62120008468628,2.3654301166534424,2.516629934310913,0.0,48334783.341,0.0344740231851304
2013-07-07,LTC,2.457779884338379,2.658819913864136,2.38427996635437,2.656610012054444,0.0,51099903.9764,0.0541301996083437
2013-07-08,LTC,2.7111599445343018,2.743499994277954,2.494539976119995,2.6092000007629395,0.0,50274076.0368,-0.0180072172243947
